stock,date,entry_price,entry_idx,rsi,macd,signal,volume_ratio,range_position,conditions_met,conditions,exit_pct,exit_reason,pnl,capital
360ONE,2025-11-27,1151.5,560,49.05149051490512,0.26483379661135587,0.12309128829131827,14.0,49.735449735449976,4,"{'rsi': np.True_, 'macd': True, 'volume': np.True_, 'range': True}",2.275293095961773,EOD,455.0586191923547,20000
ABB,2025-11-27,5265.0,851,50.0,2.6144075248703302,0.7124782012288295,0.0,60.893854748603346,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.4748338081671415,EOD,-94.96676163342829,20000
ABCAPITAL,2025-11-27,358.2,851,50.0,0.4604738138527864,0.23303689052445065,0.0,95.10489510489481,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-2.0100502512562626,EOD,-402.01005025125255,20000
ADANIENSOL,2025-11-27,1007.3,830,53.26688815060907,0.40819457649752167,0.13987352695591196,0.0,100.0,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.1416658393725803,EOD,-228.33316787451608,20000
ADANIPORTS,2025-11-27,1536.6,849,50.7717303005686,1.4943148275474414,0.7804627883504434,0.11494252873563218,88.47457627118614,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-2.6421970584407073,EOD,-528.4394116881415,20000
ALKEM,2025-11-27,5771.5,656,50.0,0.26213563829696795,-1.4615707896984493,0.0,43.0327868852459,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",-0.9702850212249848,EOD,-194.05700424499696,20000
AMBER,2025-11-27,6934.5,821,50.185758513931894,14.96956395345478,4.282956022533144,0.0,62.53333333333333,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-2.292883409041748,EOD,-458.5766818083496,20000
AMBUJACEM,2025-11-27,554.0,570,50.0,0.2137996780921867,0.1060104717628365,0.0,44.148936170212636,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",1.6606498194945931,EOD,332.1299638989186,20000
APLAPOLLO,2025-11-27,1744.8,783,47.27272727272726,0.27585234771481737,0.27197999345032453,0.0,78.23343848580416,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.9170105456212746,EOD,183.4021091242549,20000
ASHOKLEY,2025-11-27,156.98,833,50.0,0.11049696614202276,0.051773084020042645,1.0169491525423728,96.79767103347889,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.9875143330360587,EOD,-397.50286660721173,20000
