date,stock,strategy,rsi,range_position,entry_price,option_type,pnl,exit_reason,exit_pct
2025-12-16,PRESTIGE,B_PE_LOW,54.58937198067629,24.754901960784117,1627.0,PE,-118.00860479409845,EOD,-0.5900430239704922
2025-12-16,RBLBANK,B_PE_LOW,52.89672544080601,39.072847682119,301.5,PE,-225.53897180762706,EOD,-1.1276948590381353
2025-12-16,RECLTD,B_PE_LOW,53.58649789029541,20.873786407767298,338.1,PE,47.32327713694576,EOD,0.2366163856847288
2025-12-16,RVNL,B_PE_LOW,44.930069930069976,2.762430939226533,303.6,PE,276.6798418972362,EOD,1.383399209486181
2025-12-16,SAIL,B_PE_LOW,53.7435897435897,27.27272727272705,129.72,PE,-86.33980881899511,EOD,-0.43169904409497556
2025-12-16,SAMMAANCAP,B_PE_LOW,54.72404115996253,25.850340136054133,147.92,PE,-243.37479718767054,EOD,-1.2168739859383528
2025-12-16,SBICARD,B_PE_LOW,56.2189054726367,14.6938775510205,854.6,PE,379.1247367189339,EOD,1.8956236835946696
2025-12-16,SBILIFE,B_PE_LOW,45.198555956678746,38.27160493827205,2045.2,PE,176.0219049481713,EOD,0.8801095247408566
2025-12-16,SBIN,B_PE_LOW,45.09803921568629,17.99307958477533,964.7,PE,95.36643516119284,EOD,0.47683217580596415
2025-12-16,SHREECEM,B_PE_LOW,44.666666666666664,16.27906976744186,26240.0,PE,297.2560975609756,EOD,1.486280487804878
2025-12-16,SHRIRAMFIN,B_PE_LOW,44.9172576832152,38.75739644970459,852.7,PE,225.167116219072,EOD,1.12583558109536
2025-12-16,SIEMENS,B_PE_LOW,43.4650455927051,30.522088353413178,3157.7,PE,-141.87541565063526,EOD,-0.7093770782531763
2025-12-16,SOLARINDS,B_PE_LOW,44.019138755980855,4.054054054054054,11961.0,PE,270.8803611738149,EOD,1.3544018058690745
2025-12-16,SUNPHARMA,B_PE_LOW,45.25939177101965,37.85046728971944,1794.3,PE,120.38120715599095,EOD,0.6019060357799547
2025-12-16,SUZLON,B_PE_LOW,43.7158469945355,7.954545454545464,52.69,PE,-53.14101347504292,EOD,-0.2657050673752146
2025-12-16,SYNGENE,B_PE_LOW,44.191343963553585,1.6806722689079483,652.2,PE,239.1904323827103,EOD,1.1959521619135514
2025-12-16,TATAELXSI,B_PE_LOW,43.95161290322581,36.423841059602644,5031.0,PE,159.01411250248458,EOD,0.7950705625124229
2025-12-16,TATAPOWER,B_PE_LOW,44.38687392055274,8.870967741935685,379.6,PE,-115.91148577449589,EOD,-0.5795574288724794
2025-12-16,TIINDIA,B_PE_LOW,45.3510436432638,28.838951310861543,2636.9,PE,104.66836057491889,EOD,0.5233418028745945
2025-12-16,TMPV,B_PE_LOW,45.124716553287904,4.379562043794978,345.4,PE,-69.48465547191925,EOD,-0.34742327735959627
2025-12-16,TORNTPHARM,B_PE_LOW,45.48440065681446,3.136531365313328,3767.0,PE,-10.618529333687285,EOD,-0.053092646668436425
2025-12-16,TRENT,B_PE_LOW,44.49213161659513,38.48920863309338,4123.7,PE,17.460048015133808,EOD,0.08730024007566903
2025-12-16,TVSMOTOR,B_PE_LOW,43.15970234688038,13.982300884955915,3620.5,PE,-248.58444966164896,EOD,-1.2429222483082447
2025-12-16,ULTRACEMCO,B_PE_LOW,45.920745920745915,33.50515463917525,11650.0,PE,291.84549356223175,EOD,1.4592274678111588
2025-12-16,UNIONBANK,B_PE_LOW,45.3846153846153,15.527950310558875,152.73,PE,-73.33202383290804,EOD,-0.3666601191645402
2025-12-16,UNITDSPR,B_PE_LOW,49.72332015810275,33.187772925764655,1450.7,PE,-311.57372303026,EOD,-1.5578686151513
2025-12-16,UPL,B_PE_LOW,44.70477975632617,9.27601809954781,750.95,PE,-58.5924495638809,EOD,-0.2929622478194045
2025-12-16,WIPRO,B_PE_LOW,50.55803571428552,20.116618075801643,259.9,PE,-1.5390534821158521,EOD,-0.007695267410579261
2025-12-16,YESBANK,B_PE_LOW,44.6540880503145,20.000000000000238,21.51,PE,-18.596001859596484,EOD,-0.09298000929798242
2025-12-16,ZYDUSLIFE,B_PE_LOW,45.16695957820735,8.480565371024266,923.05,PE,251.34066410270103,EOD,1.2567033205135052
2025-12-17,360ONE,B_PE_LOW,56.790123456789445,13.09090909090876,1130.6,PE,17.689722271360342,EOD,0.08844861135680171
2025-12-17,ABB,B_PE_LOW,49.411764705882355,3.35195530726257,5196.0,PE,157.8137028483449,EOD,0.7890685142417244
2025-12-17,ABCAPITAL,B_PE_LOW,55.304740406320455,34.52380952380935,350.7,PE,382.0929569432525,EOD,1.9104647847162624
2025-12-17,ADANIENSOL,B_PE_LOW,45.16324062877872,5.649717514124279,984.0,PE,-40.650406504065046,EOD,-0.20325203252032523
2025-12-17,ADANIENT,B_PE_LOW,54.282868525896404,37.47016706443863,2246.6,PE,163.80308021009202,EOD,0.81901540105046
2025-12-17,ADANIGREEN,B_PE_LOW,46.09374999999998,12.44239631336378,1024.8,PE,136.6120218579235,EOD,0.6830601092896176
2025-12-17,ALKEM,B_PE_LOW,55.1640340218712,36.58536585365854,5647.5,PE,123.9486498450642,EOD,0.619743249225321
2025-12-17,AMBER,B_PE_LOW,49.88112220637185,28.996865203761757,6598.5,PE,-51.526862165643706,EOD,-0.2576343108282185
2025-12-17,AMBUJACEM,B_PE_LOW,48.65403788634095,2.928870292887208,542.0,PE,44.280442804429725,EOD,0.22140221402214863
2025-12-17,APOLLOHOSP,B_PE_LOW,50.566695727986044,5.097087378640777,6940.5,PE,95.09401339961099,EOD,0.4754700669980549
2025-12-17,ASHOKLEY,B_PE_LOW,45.45454545454541,26.408450704225324,164.41,PE,-423.33191411714836,EOD,-2.1166595705857416
2025-12-17,ASTRAL,B_PE_LOW,48.816568047337334,20.942408376963325,1437.2,PE,286.6685221263555,EOD,1.4333426106317777
2025-12-17,BAJAJ-AUTO,B_PE_LOW,45.74944071588367,20.284697508896798,8958.5,PE,145.1135792822459,EOD,0.7255678964112295
2025-12-17,BAJAJFINSV,B_PE_LOW,46.835443037974684,14.831460674157098,2023.0,PE,-272.86208601087407,EOD,-1.3643104300543702
2025-12-17,BAJFINANCE,B_PE_LOW,46.49776453055139,11.981566820276578,999.5,PE,-424.2121060530274,EOD,-2.121060530265137
2025-12-17,BDL,B_PE_LOW,46.222222222222214,3.418803418803535,1332.5,PE,15.009380863039402,EOD,0.075046904315197
2025-12-17,BEL,B_PE_LOW,45.38461538461535,20.66115702479335,386.95,PE,-201.5764310634437,EOD,-1.0078821553172186
2025-12-17,BHARATFORG,B_PE_LOW,44.444444444444414,29.107981220657397,1417.0,PE,-62.103034580100086,EOD,-0.31051517290050046
2025-12-17,BHARTIARTL,B_PE_LOW,46.25082946250826,23.958333333332803,2107.7,PE,-311.23974000095063,EOD,-1.5561987000047532
2025-12-17,BHEL,B_PE_LOW,46.24624624624621,21.37404580152652,277.75,PE,-324.0324032403241,EOD,-1.6201620162016201
2025-12-17,BIOCON,B_PE_LOW,45.48944337811906,39.259259259259764,387.35,PE,-222.02142764941033,EOD,-1.1101071382470515
2025-12-17,BOSCHLTD,B_PE_LOW,45.45454545454546,3.3057851239669422,36045.0,PE,-210.8475516715217,EOD,-1.0542377583576086
2025-12-17,BPCL,B_PE_LOW,44.802867383512314,29.927007299269558,368.65,PE,-59.67720059677324,EOD,-0.2983860029838662
2025-12-17,BSE,B_PE_LOW,44.70100651272955,20.698924731182895,2632.8,PE,-161.0452749924021,EOD,-0.8052263749620105
2025-12-17,CAMS,B_PE_LOW,46.1194029850746,37.9746835443038,738.3,PE,59.59637003927449,EOD,0.29798185019637247
2025-12-17,CDSL,B_PE_LOW,45.862552594670355,5.985037406483464,1480.1,PE,-78.37308289980653,EOD,-0.39186541449903267
2025-12-17,CGPOWER,B_PE_LOW,44.795321637426966,3.036876355748561,672.6,PE,-23.78828426999567,EOD,-0.11894142134997836
2025-12-17,CHOLAFIN,B_PE_LOW,52.272727272727124,17.806267806267794,1683.6,PE,-61.772392492281696,EOD,-0.30886196246140846
2025-12-17,CIPLA,B_PE_LOW,45.778611632270184,17.972350230415127,1496.5,PE,-347.4774473772135,EOD,-1.7373872368860672
2025-12-17,COFORGE,B_PE_LOW,47.01754385964923,19.21487603305819,1860.9,PE,40.84045354398605,EOD,0.20420226771993025
2025-12-17,COLPAL,B_PE_LOW,44.58398744113028,0.0,2103.7,PE,142.60588486951565,EOD,0.7130294243475782
2025-12-17,CONCOR,B_PE_LOW,45.45454545454549,16.022099447514297,498.6,PE,-48.1347773766519,EOD,-0.24067388688325947
2025-12-17,CROMPTON,B_PE_LOW,44.88448844884488,8.943089430894485,250.0,PE,0.0,EOD,0.0
2025-12-17,CUMMINSIND,B_PE_LOW,46.04607721046081,32.056737588653,4523.1,PE,-240.54299042691792,EOD,-1.2027149521345897
2025-12-17,DABUR,B_PE_LOW,45.166163141993984,1.1111111111113636,494.5,PE,-145.6016177957542,EOD,-0.728008088978771
2025-12-17,DELHIVERY,B_PE_LOW,53.58361774744033,31.68316831683206,401.6,PE,-89.64143426294594,EOD,-0.4482071713147297
2025-12-17,DIVISLAB,B_PE_LOW,45.535714285714285,14.0625,6313.5,PE,-158.39074998020115,EOD,-0.7919537499010058
2025-12-17,DIXON,B_PE_LOW,45.39170506912443,9.355509355509357,13300.0,PE,60.150375939849624,EOD,0.30075187969924816
2025-12-17,DLF,B_PE_LOW,46.30225080385846,13.333333333333334,684.0,PE,-157.89473684210793,EOD,-0.7894736842105397
2025-12-17,DMART,B_PE_LOW,45.050335570469755,26.470588235293903,3828.2,PE,33.43607961966269,EOD,0.16718039809831348
